order_id,account_id,timestamp,product_id,amount,device_id,address_id,order_status,refund_requested,risk_score,risk_level
ORD_ACC_N_0_0,ACC_N_0,2026-08-19T00:00:00,PROD_108,375.94,DEV_N_0,ADDR_N_0,COMPLETED,0,0.0,LOW
ORD_ACC_N_0_1,ACC_N_0,2025-11-25T00:00:00,PROD_101,61.73,DEV_N_0,ADDR_N_0,COMPLETED,0,0.0,LOW
ORD_ACC_N_1_0,ACC_N_1,2026-06-28T00:00:00,PROD_145,308.97,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,LOW
ORD_ACC_N_1_1,ACC_N_1,2026-07-09T00:00:00,PROD_100,125.81,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,LOW
ORD_ACC_N_1_2,ACC_N_1,2026-06-03T00:00:00,PROD_113,222.85,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,LOW
ORD_ACC_N_1_3,ACC_N_1,2026-08-18T00:00:00,PROD_122,64.52,DEV_N_1,ADDR_N_1,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_0,ACC_N_2,2026-08-20T00:00:00,PROD_124,370.27,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_1,ACC_N_2,2026-04-12T00:00:00,PROD_123,160.73,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_2,ACC_N_2,2026-07-13T00:00:00,PROD_114,358.19,DEV_N_2,ADDR_N_2,REFUNDED,1,0.0,LOW
ORD_ACC_N_2_3,ACC_N_2,2026-07-03T00:00:00,PROD_129,435.91,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_4,ACC_N_2,2026-07-21T00:00:00,PROD_117,197.69,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_5,ACC_N_2,2026-07-19T00:00:00,PROD_129,276.39,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_6,ACC_N_2,2026-06-23T00:00:00,PROD_135,494.97,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_7,ACC_N_2,2026-06-09T00:00:00,PROD_114,424.57,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_8,ACC_N_2,2026-06-12T00:00:00,PROD_136,212.56,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_9,ACC_N_2,2026-07-08T00:00:00,PROD_141,334.61,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_10,ACC_N_2,2026-07-26T00:00:00,PROD_135,147.14,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_11,ACC_N_2,2026-06-25T00:00:00,PROD_137,378.57,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_2_12,ACC_N_2,2026-05-31T00:00:00,PROD_132,125.27,DEV_N_2,ADDR_N_2,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_0,ACC_N_3,2026-08-28T00:00:00,PROD_110,433.33,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_1,ACC_N_3,2026-07-24T00:00:00,PROD_129,50.49,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_2,ACC_N_3,2026-08-15T00:00:00,PROD_100,486.12,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_3,ACC_N_3,2026-07-19T00:00:00,PROD_149,444.7,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_4,ACC_N_3,2026-08-24T00:00:00,PROD_100,160.88,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_5,ACC_N_3,2026-07-30T00:00:00,PROD_106,385.74,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_6,ACC_N_3,2026-07-09T00:00:00,PROD_109,326.7,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_7,ACC_N_3,2026-07-14T00:00:00,PROD_133,97.54,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_8,ACC_N_3,2026-07-24T00:00:00,PROD_123,175.59,DEV_N_3,ADDR_N_3,REFUNDED,1,0.0,LOW
ORD_ACC_N_3_9,ACC_N_3,2026-08-28T00:00:00,PROD_105,135.62,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_10,ACC_N_3,2026-07-16T00:00:00,PROD_148,253.28,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_11,ACC_N_3,2026-07-13T00:00:00,PROD_135,80.37,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_3_12,ACC_N_3,2026-08-15T00:00:00,PROD_113,273.28,DEV_N_3,ADDR_N_3,COMPLETED,0,0.0,LOW
ORD_ACC_N_4_0,ACC_N_4,2026-03-25T00:00:00,PROD_123,211.52,DEV_N_4,ADDR_N_4,COMPLETED,0,0.0,LOW
ORD_ACC_N_4_1,ACC_N_4,2025-12-10T00:00:00,PROD_104,236.71,DEV_N_4,ADDR_N_4,COMPLETED,0,0.0,LOW
ORD_ACC_N_4_2,ACC_N_4,2026-08-21T00:00:00,PROD_114,302.39,DEV_N_4,ADDR_N_4,COMPLETED,0,0.0,LOW
ORD_ACC_N_4_3,ACC_N_4,2026-07-26T00:00:00,PROD_104,359.76,DEV_N_4,ADDR_N_4,COMPLETED,0,0.0,LOW
ORD_ACC_N_5_0,ACC_N_5,2026-04-22T00:00:00,PROD_113,134.24,DEV_N_5,ADDR_N_5,COMPLETED,0,0.0,LOW
ORD_ACC_N_5_1,ACC_N_5,2026-07-29T00:00:00,PROD_136,367.21,DEV_N_5,ADDR_N_5,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_0,ACC_N_6,2026-05-02T00:00:00,PROD_106,407.6,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_1,ACC_N_6,2026-06-02T00:00:00,PROD_146,223.32,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_2,ACC_N_6,2026-08-06T00:00:00,PROD_106,49.09,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_3,ACC_N_6,2026-07-13T00:00:00,PROD_127,111.3,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_4,ACC_N_6,2026-06-21T00:00:00,PROD_104,242.06,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_5,ACC_N_6,2026-08-06T00:00:00,PROD_100,44.28,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_6,ACC_N_6,2026-07-02T00:00:00,PROD_113,99.83,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_7,ACC_N_6,2026-08-16T00:00:00,PROD_124,99.03,DEV_N_6,ADDR_N_6,REFUNDED,1,0.0,LOW
ORD_ACC_N_6_8,ACC_N_6,2026-06-19T00:00:00,PROD_135,223.04,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_9,ACC_N_6,2026-07-23T00:00:00,PROD_103,111.15,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_10,ACC_N_6,2026-08-16T00:00:00,PROD_137,379.03,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_11,ACC_N_6,2026-04-25T00:00:00,PROD_103,461.31,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_6_12,ACC_N_6,2026-08-11T00:00:00,PROD_104,428.64,DEV_N_6,ADDR_N_6,COMPLETED,0,0.0,LOW
ORD_ACC_N_7_0,ACC_N_7,2026-04-08T00:00:00,PROD_139,138.18,DEV_N_7,ADDR_N_7,COMPLETED,0,0.0,LOW
ORD_ACC_N_7_1,ACC_N_7,2026-05-16T00:00:00,PROD_120,335.54,DEV_N_7,ADDR_N_7,COMPLETED,0,0.0,LOW
ORD_ACC_N_8_0,ACC_N_8,2026-06-01T00:00:00,PROD_108,170.81,DEV_N_8,ADDR_N_8,COMPLETED,0,0.0,LOW
ORD_ACC_N_8_1,ACC_N_8,2026-07-04T00:00:00,PROD_104,171.77,DEV_N_8,ADDR_N_8,COMPLETED,0,0.0,LOW
ORD_ACC_N_8_2,ACC_N_8,2026-07-04T00:00:00,PROD_106,318.16,DEV_N_8,ADDR_N_8,COMPLETED,0,0.0,LOW
ORD_ACC_N_8_3,ACC_N_8,2026-06-24T00:00:00,PROD_122,122.31,DEV_N_8,ADDR_N_8,COMPLETED,0,0.0,LOW
ORD_ACC_N_8_4,ACC_N_8,2026-05-11T00:00:00,PROD_128,137.26,DEV_N_8,ADDR_N_8,COMPLETED,0,0.0,LOW
